pierre,nnp
vinken,nnp
",",","
61,cd
years,nns
old,jj
",",","
will,md
join,vb
the,dt
board,nn
as,in
a,dt
nonexecutive,jj
director,nn
nov.,nnp
29,cd
.,.
mr.,nnp
vinken,nnp
is,vbz
chairman,nn
of,in
elsevier,nnp
n.v.,nnp
",",","
the,dt
dutch,nnp
publishing,vbg
group,nn
.,.
rudolph,nnp
agnew,nnp
",",","
55,cd
years,nns
old,jj
and,cc
former,jj
chairman,nn
of,in
consolidated,nnp
gold,nnp
fields,nnp
plc,nnp
",",","
was,vbd
named,vbn
a,dt
nonexecutive,jj
director,nn
of,in
this,dt
british,jj
industrial,jj
conglomerate,nn
.,.
a,dt
form,nn
of,in
asbestos,nn
once,rb
used,vbn
to,to
make,vb
kent,nnp
cigarette,nn
filters,nns
has,vbz
caused,vbn
a,dt
high,jj
percentage,nn
of,in
cancer,nn
deaths,nns
among,in
a,dt
group,nn
of,in
workers,nns
exposed,vbn
to,to
it,prp
more,rbr
than,in
30,cd
years,nns
ago,in
",",","
researchers,nns
reported,vbd
.,.
the,dt
asbestos,nn
fiber,nn
",",","
crocidolite,nn
",",","
is,vbz
unusually,rb
resilient,jj
once,in
it,prp
enters,vbz
the,dt
lungs,nns
",",","
with,in
even,rb
brief,jj
exposures,nns
to,to
it,prp
causing,vbg
symptoms,nns
that,wdt
show,vbp
up,in
decades,nns
later,jj
",",","
researchers,nns
said,vbd
.,.
lorillard,nnp
inc.,nnp
",",","
the,dt
unit,nn
of,in
new,jj
york-based,jj
loews,nnp
corp.,nnp
that,wdt
makes,vbz
kent,nnp
cigarettes,nns
",",","
stopped,vbd
using,vbg
crocidolite,nn
in,in
its,prp$
micronite,nn
cigarette,nn
filters,nns
in,in
1956,cd
.,.
although,in
preliminary,jj
findings,nns
were,vbd
reported,vbn
more,rbr
than,in
a,dt
year,nn
ago,in
",",","
the,dt
latest,jjs
results,nns
appear,vbp
in,in
today,nn
's,pos
new,nnp
england,nnp
journal,nnp
of,in
medicine,nnp
",",","
