
Predicted  #    $   ''   (   )     ,     .    :   ``    cc    cd    dt  ex    in    jj  jjr  jjs  ls   md    nn   nnp  nnps   nns  pos   prp  prp$    rb  rbr   rp    to   vb   vbd  vbg  vbn  vbp   vbz  wdt   wp  wp$  wrb
Actual                                                                                                                                                                                                                      
#          5    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
$          0  371    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     4     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
''         0    0  528   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    5     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
(          0    0    0  76   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
)          0    0    0   0  76     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
,          0    0    0   0   0  3070     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
.          0    0    0   0   0     0  2363    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
:          0    0    0   0   0     0     0  336    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
``         0    0    0   0   0     0     0    0  535     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
cc         0    0    0   0   0     0     0    0    0  1364     0     8   0     0     0    0    0   0    0     0     0     0     0    0     0     0     1    0    0     0    0     0    0    0    0     0    0    0    0    0
cd         0    0    0   0   0     0     0    0    0     0  1526     0   0     0     0    0    0   0    0   409     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
dt         0    0    0   0   0     0     0    0    0     0     0  4712   0   103     2    0    0   0    0     2     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
ex         0    0    0   0   0     0     0    0    0     0     0     0  57     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
fw         0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0    18     2     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
in         0    0    0   0   0     0     0    0    0     0     0     0   0  5806    10    0    0   0    0     4     0     0     0    0     0     0    16    0   30     0    0     0    0    0    0     0    0    0    0    0
jj         0    0    0   0   0     0     0    0    0     0     3     0   0     4  2270    0    1   0    0   988   191     0     0    0     0     0    76    0    1     0    7    34   29  104    3     0    0    0    0    0
jjr        0    0    0   0   0     0     0    0    0     0     0     0   0     0     1   98    0   0    0    16     1     0     0    0     0     0     0   78    0     0    0     0    0    0    0     0    0    0    0    0
jjr|rbr    0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    4    0     0    0     0    0    0    0     0    0    0    0    0
jjs        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0  118   0    0    10     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
jj|in      0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     1     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
ls         0    0    0   0   0     0     0    0    0     0     4     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
md         0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0  584     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
nn         0    0    0   0   0     0     0    0    0     2     6     0   0     6    93    0    0   0    3  6983   233     0     5    0     0     0     1    0    0     0  125     1   81    2   38     1    0    0    0    0
nnp        0    0    0   0   0     0     0    0    0     1     3     5   0     2   266    1    0   2    4  2545  2905     5   158    0     0     0     5    0    0     0   12     2    7    2    6     8    0    0    0    0
nnps       0    0    0   0   0     0     0    0    0     0     0     0   0     0     5    0    0   0    0    18     0    10     9    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
nns        0    0    0   0   0     0     0    0    0     0     6     0   0     0    16    0    0   0    0   641    28     1  2717    0     0     0     0    0    0     0    0     0    0    0    0   104    0    0    0    0
pdt        0    0    0   0   0     0     0    0    0     0     0    11   0     0     4    0    0   0    0     3     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
pos        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0  551     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
prp        0    0    0   0   0     0     0    0    0     0     6     0   0     0     0    0    0   0    0     0     0     0     0    0  1042     8     0    0    0     0    0     0    0    0    0     0    0    0    0    0
prp$       0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0   510     0    0    0     0    0     0    0    0    0     0    0    0    0    0
rb         0    0    0   0   0     0     0    0    0     5     0    11   6   172    62    0    2   0    0   144     0     0     0    0     0     0  1605    0   35     0    6     0    0    0    0     0    0    0    0    0
rbr        0    0    0   0   0     0     0    0    0     0     0     0   0     0     2   41    0   0    0     1     0     0     0    0     0     0     0   66    0     0    0     0    0    0    0     0    0    0    0    0
rbr|jjr    0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    2    0     0    0     0    0    0    0     0    0    0    0    0
rbs        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0   30   0    0     0     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
rb|jj      0    0    0   0   0     0     0    0    0     0     0     0   0     0     1    0    0   0    0     1     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
rp         0    0    0   0   0     0     0    0    0     0     0     0   0    38     0    0    0   0    0     1     0     0     0    0     0     0    30    0  108     0    0     0    0    0    0     0    0    0    0    0
sym        0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     1     0     0     0    0     0     0     0    0    0     0    0     0    0    0    0     0    0    0    0    0
to         0    0    0   0   0     0     0    0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0     0     0     0    0    0  1245    0     0    0    0    0     0    0    0    0    0
uh         0    0    0   0   0     0     0    0    0     0     0     1   0     0     0    0    0   0    0     3     0     0     0    0     0     0     4    0    0     0    0     0    0    0    0     0    0    0    0    0
vb         0    0    0   0   0     0     0    0    0     0     0     0   0     4    22    1    0   0    0   415    11     0     0    0     0     0     2    0    0     0  917     1    0    5  211     0    0    0    0    0
vbd        0    0    0   0   0     0     0    0    0     0     0     0   0     0     6    0    0   0    0   141     2     0     0    0     0     0     0    0    0     0    9  1470    0  208    1     0    0    0    0    0
vbg        0    0    0   0   0     0     0    0    0     0     0     0   0     0     2    0    0   0    0   268     1     0     0    0     0     0     0    0    0     0    0     0  546    0    0     0    0    0    0    0
